見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
「,「,「,特殊,括弧始,NIL,,インパーフェクト・クライム,,0,0
で,で,で,助詞,格助詞,NIL,,インパーフェクト・クライム,,0,0
犯行,はんこう,犯行,名詞,普通名詞,代表表記:犯行/はんこう ドメイン:政治 カテゴリ:抽象物,,インパーフェクト・クライム,,0,0
の,の,の,助詞,接続助詞,NIL,,インパーフェクト・クライム,,0,0
手掛,てがかり,手掛,名詞,普通名詞,代表表記:手掛かり/てがかり カテゴリ:抽象物 〜を〜に構成語,,インパーフェクト・クライム,,0,0
は,は,は,助詞,副助詞,NIL,,インパーフェクト・クライム,,0,0
？,？,？,特殊,記号,NIL,,インパーフェクト・クライム,,0,0
被害,ひがい,被害,名詞,普通名詞,代表表記:被害/ひがい カテゴリ:抽象物,,インパーフェクト・クライム,,0,0
者,しゃ,者,接尾辞,名詞性名詞接尾辞,代表表記:者/しゃ カテゴリ:人 内容語,,インパーフェクト・クライム,,0,0
の,の,の,助詞,接続助詞,NIL,,インパーフェクト・クライム,,0,0
身許,身許,身許,未定義語,その他,未知語:漢字 品詞推定:名詞,,インパーフェクト・クライム,,0,0
が,が,が,助詞,格助詞,NIL,,インパーフェクト・クライム,,0,0
分ら,分ら,分る,動詞,*,代表表記:分る/分る 自動獲得:テキスト,,インパーフェクト・クライム,,0,0
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,インパーフェクト・クライム,,0,0
と,と,と,助詞,格助詞,NIL,,インパーフェクト・クライム,,0,0
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,,インパーフェクト・クライム,,0,0
と,と,と,助詞,格助詞,NIL,,インパーフェクト・クライム,,0,0
、,、,、,特殊,読点,NIL,,インパーフェクト・クライム,,0,0
せめて,せめて,せめて,副詞,*,代表表記:せめて/せめて,,インパーフェクト・クライム,,0,0
、,、,、,特殊,読点,NIL,,インパーフェクト・クライム,,0,0
犯人,はんにん,犯人,名詞,普通名詞,代表表記:犯人/はんにん ドメイン:政治 カテゴリ:人,,インパーフェクト・クライム,,0,0
の,の,の,助詞,接続助詞,NIL,,インパーフェクト・クライム,,0,0
手口,てぐち,手口,名詞,普通名詞,代表表記:手口/てぐち カテゴリ:抽象物,,インパーフェクト・クライム,,0,0
を,を,を,助詞,格助詞,NIL,,インパーフェクト・クライム,,0,0
示す,しめす,示す,動詞,*,代表表記:示す/しめす,,インパーフェクト・クライム,,0,0
、,、,、,特殊,読点,NIL,,インパーフェクト・クライム,,0,0
一,いち,一,名詞,数詞,カテゴリ:数量,,インパーフェクト・クライム,,0,0
寸,すん,寸,接尾辞,名詞性名詞助数辞,代表表記:寸/すん 準内容語,,インパーフェクト・クライム,,0,0
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,,インパーフェクト・クライム,,0,0
証拠,しょうこ,証拠,名詞,普通名詞,代表表記:証拠/しょうこ ドメイン:政治 カテゴリ:抽象物,,インパーフェクト・クライム,,0,0
でも,でも,でも,助詞,副助詞,NIL,,インパーフェクト・クライム,,0,0
残って,のこって,残る,動詞,*,代表表記:残る/のこる 自他動詞:他:残す/のこす,,インパーフェクト・クライム,,0,0
は,は,は,助詞,副助詞,NIL,,インパーフェクト・クライム,,0,0
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,インパーフェクト・クライム,,0,0
なかった,なかった,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,インパーフェクト・クライム,,0,0
かしら,かしら,かしら,助詞,終助詞,NIL,,インパーフェクト・クライム,,0,0
」,」,」,特殊,括弧終,NIL,,インパーフェクト・クライム,,0,0
