単語a,単語aの品詞,単語b,単語bの品詞,共起頻度,単語aの出現頻度,単語bの出現頻度,単語aと単語bの和集合,Jaccard係数,Dice係数,Simpson係数,相互情報量
小林少年,固有名詞,犠牲,名詞,1,169,1,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
小林少年,固有名詞,腰,名詞,1,169,7,175,0.005714285714285714,0.011363636363636364,0.14285714285714285,3.4522072918693847
小林少年,固有名詞,足なみ,名詞,1,169,1,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
一同,名詞,小林少年,固有名詞,1,16,169,184,0.005434782608695652,0.010810810810810811,0.0625,2.259562213926989
小林少年,固有名詞,自宅,名詞,1,169,7,175,0.005714285714285714,0.011363636363636364,0.14285714285714285,3.4522072918693847
実業,名詞,小林少年,固有名詞,1,3,169,171,0.005847953216374269,0.011627906976744186,0.3333333333333333,4.674599713205833
小林少年,固有名詞,年下,名詞,1,169,1,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
小林少年,固有名詞,弟,名詞,1,169,2,170,0.0058823529411764705,0.011695906432748537,0.5,5.259562213926989
会,名詞,小林少年,固有名詞,1,2,169,170,0.0058823529411764705,0.011695906432748537,0.5,5.259562213926989
ゆくえ,名詞,小林少年,固有名詞,1,10,169,178,0.0056179775280898875,0.0111731843575419,0.1,2.9376341190396267
きみの,名詞,小林少年,固有名詞,1,11,169,179,0.00558659217877095,0.011111111111111112,0.09090909090909091,2.8001305952896915
さしず,名詞,小林少年,固有名詞,1,9,169,177,0.005649717514124294,0.011235955056179775,0.1111111111111111,3.0896372124846763
小林少年,固有名詞,調べ,名詞,1,169,2,170,0.0058823529411764705,0.011695906432748537,0.5,5.259562213926989
あだ名,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
小林少年,固有名詞,涙,名詞,1,169,6,174,0.005747126436781609,0.011428571428571429,0.16666666666666666,3.674599713205833
小林少年,固有名詞,生,名詞,1,169,1,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
小学校,名詞,小林少年,固有名詞,1,3,169,171,0.005847953216374269,0.011627906976744186,0.3333333333333333,4.674599713205833
上級,名詞,小林少年,固有名詞,1,1,169,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
あいさつ,名詞,小林少年,固有名詞,1,5,169,173,0.005780346820809248,0.011494252873563218,0.2,3.9376341190396267
天気,名詞,怪人二十面相,固有名詞,1,1,543,543,0.001841620626151013,0.003676470588235294,1.0,4.5756332624048115
余暇,名詞,小林少年,固有名詞,1,1,169,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
お礼,名詞,小林少年,固有名詞,1,7,169,175,0.005714285714285714,0.011363636363636364,0.14285714285714285,3.4522072918693847
小林少年,固有名詞,水曜,名詞,1,169,1,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
小林少年,固有名詞,庭園,名詞,1,169,3,171,0.005847953216374269,0.011627906976744186,0.3333333333333333,4.674599713205833
学校,名詞,小林少年,固有名詞,1,11,169,179,0.00558659217877095,0.011111111111111112,0.09090909090909091,2.8001305952896915
小林少年,固有名詞,日曜,名詞,1,169,2,170,0.0058823529411764705,0.011695906432748537,0.5,5.259562213926989
利用,名詞,小林少年,固有名詞,1,1,169,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
小林少年,固有名詞,月曜,名詞,1,169,1,169,0.005917159763313609,0.011764705882352941,1.0,6.259562213926989
