単語a,単語aの品詞,単語b,単語bの品詞,共起頻度,単語aの出現頻度,単語bの出現頻度,単語aと単語bの和集合,Jaccard係数,Dice係数,Simpson係数,相互情報量
こと,名詞,怪人二十面相,固有名詞,66,344,543,821,0.08038976857490865,0.1488162344983089,0.19186046511627908,2.193762627061167
怪人二十面相,固有名詞,明智探偵,固有名詞,46,543,362,859,0.05355064027939464,0.10165745856353592,0.1270718232044199,1.5993493313786191
小林少年,固有名詞,明智探偵,固有名詞,41,169,362,490,0.0836734693877551,0.1544256120527307,0.24260355029585798,3.117268331461867
こと,名詞,明智探偵,固有名詞,37,344,362,669,0.05530642750373692,0.1048158640226629,0.10755813953488372,1.9437843740528196
壮,名詞,怪人二十面相,固有名詞,37,37,543,543,0.06813996316758748,0.12758620689655173,1.0,4.5756332624048115
の,名詞,怪人二十面相,固有名詞,37,127,543,633,0.05845181674565561,0.11044776119402985,0.29133858267716534,2.7964019412615957
小林少年,固有名詞,怪人二十面相,固有名詞,30,169,543,682,0.04398826979472141,0.08426966292134831,0.17751479289940827,2.081644421731146
もの,名詞,怪人二十面相,固有名詞,29,157,543,671,0.043219076005961254,0.08285714285714285,0.18471337579617833,2.1389935086407568
ぼく,名詞,怪人二十面相,固有名詞,29,199,543,713,0.04067321178120617,0.07816711590296496,0.1457286432160804,1.7969896369887348
こと,名詞,小林少年,固有名詞,28,344,169,485,0.0577319587628866,0.10916179337231968,0.16568047337278108,2.640652381282495
一,名詞,怪人二十面相,固有名詞,28,105,543,620,0.04516129032258064,0.08641975308641975,0.26666666666666666,2.668742666796293
もの,名詞,明智探偵,固有名詞,25,157,362,494,0.05060728744939271,0.09633911368015415,0.1592356687898089,2.5098312040090653
三,名詞,怪人二十面相,固有名詞,25,68,543,586,0.042662116040955635,0.08183306055646482,0.36764705882352944,3.1320266109291968
中,名詞,怪人二十面相,固有名詞,24,123,543,642,0.037383177570093455,0.07207207207207207,0.1951219512195122,2.2180812577867277
怪人二十面相,固有名詞,部下,名詞,23,543,37,557,0.04129263913824058,0.07931034482758621,0.6216216216216216,3.8897418528328744
怪人二十面相,固有名詞,顔,名詞,22,543,107,628,0.03503184713375796,0.06769230769230769,0.205607476635514,2.293597894640962
人,名詞,怪人二十面相,固有名詞,21,78,543,600,0.035,0.06763285024154589,0.2692307692307692,2.6825484663213235
明智探偵,固有名詞,顔,名詞,20,362,107,449,0.044543429844097995,0.08528784648187633,0.18691588785046728,2.7410568716121833
の,名詞,明智探偵,固有名詞,19,127,362,470,0.04042553191489362,0.07770961145194274,0.14960629921259844,2.4198385897973873
きみ,名詞,明智探偵,固有名詞,19,126,362,469,0.04051172707889126,0.0778688524590164,0.15079365079365079,2.431243353069637
明智探偵,固有名詞,老人,名詞,19,362,110,453,0.04194260485651214,0.08050847457627118,0.17272727272727273,2.6271635630448937
怪人二十面相,固有名詞,老人,名詞,18,543,110,635,0.028346456692913385,0.055130168453292494,0.16363636363636364,1.9641985503224644
ため,名詞,怪人二十面相,固有名詞,17,46,543,572,0.02972027972027972,0.057724957555178265,0.3695652173913043,3.139534147598138
ところ,名詞,怪人二十面相,固有名詞,17,57,543,583,0.029159519725557463,0.056666666666666664,0.2982456140350877,2.8302060894904093
刑事,名詞,明智探偵,固有名詞,17,48,362,393,0.043256997455470736,0.08292682926829269,0.3541666666666667,3.663096103655151
中,名詞,明智探偵,固有名詞,17,123,362,468,0.03632478632478633,0.07010309278350516,0.13821138211382114,2.3055440990370673
ほう,名詞,怪人二十面相,固有名詞,17,59,543,585,0.02905982905982906,0.05647840531561462,0.288135593220339,2.7804530542933095
怪人二十面相,固有名詞,美術,名詞,16,543,49,576,0.027777777777777776,0.05405405405405406,0.32653061224489793,2.960923418289603
怪人二十面相,固有名詞,手,名詞,16,543,78,605,0.026446280991735537,0.05152979066022544,0.20512820512820512,2.2902310435425632
先生,名詞,明智探偵,固有名詞,16,50,362,396,0.04040404040404041,0.07766990291262135,0.32,3.516739573351243
手,名詞,明智探偵,固有名詞,15,78,362,425,0.03529411764705882,0.06818181818181818,0.19230769230769232,2.782084139872238
係長,名詞,怪人二十面相,固有名詞,15,51,543,579,0.025906735751295335,0.050505050505050504,0.29411764705882354,2.8100985160418346
姿,名詞,怪人二十面相,固有名詞,15,51,543,579,0.025906735751295335,0.050505050505050504,0.29411764705882354,2.8100985160418346
ひと,名詞,明智探偵,固有名詞,15,77,362,424,0.03537735849056604,0.0683371298405467,0.19480519480519481,2.800699818039585
室,名詞,怪人二十面相,固有名詞,14,58,543,587,0.02385008517887564,0.04658901830282862,0.2413793103448276,2.525007189334844
やつ,名詞,怪人二十面相,固有名詞,14,29,543,558,0.025089605734767026,0.04895104895104895,0.4827586206896552,3.525007189334844
ようす,名詞,怪人二十面相,固有名詞,14,40,543,569,0.02460456942003515,0.048027444253859346,0.35,3.061060089575053
ピストル,名詞,怪人二十面相,固有名詞,13,38,543,568,0.022887323943661973,0.04475043029259897,0.34210526315789475,3.028145467102318
怪人二十面相,固有名詞,警察,名詞,13,543,38,568,0.022887323943661973,0.04475043029259897,0.34210526315789475,3.028145467102318
ほう,名詞,明智探偵,固有名詞,13,59,362,408,0.031862745098039214,0.06175771971496437,0.22033898305084745,2.9783924319052186
きみ,名詞,怪人二十面相,固有名詞,13,126,543,656,0.019817073170731708,0.03886397608370702,0.10317460317460317,1.2987930570459871
今,名詞,怪人二十面相,固有名詞,13,57,543,587,0.022146507666098807,0.043333333333333335,0.22807017543859648,2.443182966381162
ぼく,名詞,明智探偵,固有名詞,12,199,362,549,0.02185792349726776,0.0427807486631016,0.06030150753768844,1.108933643303475
庭,名詞,怪人二十面相,固有名詞,12,28,543,559,0.02146690518783542,0.04203152364273205,0.42857142857142855,3.353240841068364
品,名詞,怪人二十面相,固有名詞,12,41,543,572,0.02097902097902098,0.0410958904109589,0.2926829268292683,2.8030437585078842
怪人二十面相,固有名詞,羽柴,名詞,12,543,36,567,0.021164021164021163,0.04145077720207254,0.3333333333333333,2.9906707616836554
明智探偵,固有名詞,男,名詞,12,362,65,415,0.02891566265060241,0.05620608899297424,0.18461538461538463,2.7231904508186693
明智探偵,固有名詞,総監,名詞,12,362,28,378,0.031746031746031744,0.06153846153846154,0.42857142857142855,3.93820334178952
一,名詞,明智探偵,固有名詞,12,105,362,455,0.026373626373626374,0.05139186295503212,0.11428571428571428,2.031312746181001
わな,名詞,怪人二十面相,固有名詞,12,18,543,549,0.02185792349726776,0.0427807486631016,0.6666666666666666,3.9906707616836554
人,名詞,明智探偵,固有名詞,12,78,362,428,0.028037383177570093,0.05454545454545454,0.15384615384615385,2.4601560449848754
怪人二十面相,固有名詞,窓,名詞,12,543,58,589,0.02037351443123939,0.03993344425956739,0.20689655172413793,2.3026147679983957
外,名詞,怪人二十面相,固有名詞,11,43,543,575,0.019130434782608695,0.03754266211604096,0.2558139534883721,2.608800126340011
怪人二十面相,固有名詞,手下,名詞,11,543,13,545,0.02018348623853211,0.039568345323741004,0.8461538461538461,4.334625162901016
怪人二十面相,固有名詞,部屋,名詞,11,543,59,591,0.018612521150592216,0.036544850498338874,0.1864406779661017,2.1524218316802677
ところ,名詞,明智探偵,固有名詞,11,57,362,408,0.02696078431372549,0.05250596658711217,0.19298245614035087,2.7871373675985236
変装,名詞,怪人二十面相,固有名詞,11,25,543,557,0.019748653500897665,0.03873239436619718,0.44,3.391208691267384
ことば,名詞,明智探偵,固有名詞,11,27,362,378,0.0291005291005291,0.056555269922879174,0.4074074074074074,3.8651398795997967
怪人二十面相,固有名詞,男,名詞,11,543,65,597,0.018425460636515914,0.03618421052631579,0.16923076923076924,2.012697068013654
怪人二十面相,固有名詞,相手,名詞,10,543,30,563,0.017761989342806393,0.034904013961605584,0.3333333333333333,2.9906707616836554
怪人二十面相,固有名詞,自動車,名詞,10,543,51,584,0.017123287671232876,0.03367003367003367,0.19607843137254902,2.225136015320678
ほど,名詞,怪人二十面相,固有名詞,10,43,543,576,0.017361111111111112,0.034129692832764506,0.23255813953488372,2.471296602590076
助手,名詞,小林少年,固有名詞,10,13,169,172,0.05813953488372093,0.10989010989010989,0.7692307692307693,5.881050590673259
とき,名詞,怪人二十面相,固有名詞,10,43,543,576,0.017361111111111112,0.034129692832764506,0.23255813953488372,2.471296602590076
ようす,名詞,明智探偵,固有名詞,10,40,362,392,0.025510204081632654,0.04975124378109453,0.25,3.160595763125968
上,名詞,怪人二十面相,固有名詞,10,45,543,578,0.01730103806228374,0.034013605442176874,0.2222222222222222,2.4057082609624993
ひと,名詞,怪人二十面相,固有名詞,10,77,543,610,0.01639344262295082,0.03225806451612903,0.12987012987012986,1.6307748165972724
乞食,名詞,怪人二十面相,固有名詞,9,37,543,571,0.01576182136602452,0.03103448275862069,0.24324324324324326,2.536104898218174
怪人二十面相,固有名詞,日,名詞,9,543,21,555,0.016216216216216217,0.031914893617021274,0.42857142857142855,3.353240841068364
の,名詞,小林少年,固有名詞,9,127,169,287,0.0313588850174216,0.060810810810810814,0.07086614173228346,2.440802528597135
明智探偵,固有名詞,辻野,名詞,9,362,25,378,0.023809523809523808,0.046511627906976744,0.36,3.6866645747935554
ほど,名詞,明智探偵,固有名詞,9,43,362,396,0.022727272727272728,0.044444444444444446,0.20930232558139536,2.9042560098661823
三,名詞,明智探偵,固有名詞,9,68,362,421,0.021377672209026127,0.04186046511627907,0.1323529411764706,2.2430579233179406
彼,名詞,怪人二十面相,固有名詞,9,41,543,575,0.01565217391304348,0.030821917808219176,0.21951219512195122,2.3880062592290403
怪人二十面相,固有名詞,気,名詞,9,543,51,585,0.015384615384615385,0.030303030303030304,0.17647058823529413,2.0731329218756285
怪人二十面相,固有名詞,目,名詞,9,543,62,596,0.015100671140939598,0.02975206611570248,0.14516129032258066,1.7913619534602487
あいだ,名詞,怪人二十面相,固有名詞,9,29,543,563,0.015985790408525755,0.03146853146853147,0.3103448275862069,2.887577268719552
地下,名詞,怪人二十面相,固有名詞,9,27,543,561,0.016042780748663103,0.031578947368421054,0.3333333333333333,2.9906707616836554
声,名詞,怪人二十面相,固有名詞,9,55,543,589,0.015280135823429542,0.030100334448160536,0.16363636363636364,1.9641985503224644
小林少年,固有名詞,目,名詞,9,169,62,222,0.04054054054054054,0.07792207792207792,0.14516129032258066,3.475290904982426
中,名詞,小林少年,固有名詞,9,123,169,283,0.03180212014134275,0.06164383561643835,0.07317073170731707,2.486972710030061
巣くつ,名詞,怪人二十面相,固有名詞,9,9,543,543,0.016574585635359115,0.03260869565217391,1.0,4.5756332624048115
小林少年,固有名詞,手,名詞,9,169,78,238,0.037815126050420166,0.0728744939271255,0.11538461538461539,3.1440849965070528
四,名詞,怪人二十面相,固有名詞,9,33,543,567,0.015873015873015872,0.03125,0.2727272727272727,2.7011641444886703
うち,名詞,怪人二十面相,固有名詞,9,30,543,564,0.015957446808510637,0.031413612565445025,0.3,2.8386676682386054
室,名詞,小林少年,固有名詞,9,58,169,218,0.04128440366972477,0.07929515418502203,0.15517241379310345,3.571506220241729
予告,名詞,怪人二十面相,固有名詞,9,17,543,551,0.016333938294010888,0.03214285714285714,0.5294117647058824,3.6580954225967846
まえ,名詞,怪人二十面相,固有名詞,9,48,543,582,0.015463917525773196,0.030456852791878174,0.1875,2.160595763125968
乞食,名詞,明智探偵,固有名詞,9,37,362,390,0.023076923076923078,0.045112781954887216,0.24324324324324326,3.1210673989393305
姿,名詞,明智探偵,固有名詞,8,51,362,405,0.019753086419753086,0.0387409200968523,0.1568627450980392,2.4881704211544724
かくれが,名詞,怪人二十面相,固有名詞,8,14,543,549,0.014571948998178506,0.02872531418312388,0.5714285714285714,3.7682783403472073
ふた,名詞,明智探偵,固有名詞,8,61,362,415,0.01927710843373494,0.037825059101654845,0.13114754098360656,2.2298584255630813
壮太郎,名詞,怪人二十面相,固有名詞,8,53,543,588,0.013605442176870748,0.026845637583892617,0.1509433962264151,1.8477128078416123
明智探偵,固有名詞,部長,名詞,8,362,18,372,0.021505376344086023,0.042105263157894736,0.4444444444444444,3.9906707616836554
博物,名詞,怪人二十面相,固有名詞,8,42,543,577,0.01386481802426343,0.02735042735042735,0.19047619047619047,2.1833158396260512
明智探偵,固有名詞,赤井,名詞,8,362,21,375,0.021333333333333333,0.04177545691906005,0.38095238095238093,3.7682783403472073
家,名詞,怪人二十面相,固有名詞,8,22,543,557,0.01436265709156194,0.02831858407079646,0.36363636363636365,3.116201643767514
ため,名詞,明智探偵,固有名詞,8,46,362,400,0.02,0.0392156862745098,0.17391304347826086,2.637033807068955
怪人二十面相,固有名詞,車,名詞,8,543,33,568,0.014084507042253521,0.027777777777777776,0.24242424242424243,2.531239143046358
団,名詞,明智探偵,固有名詞,8,8,362,362,0.022099447513812154,0.043243243243243246,1.0,5.160595763125968
何,名詞,明智探偵,固有名詞,8,75,362,429,0.018648018648018648,0.036613272311212815,0.10666666666666667,1.931777072630087
明智探偵,固有名詞,気,名詞,8,362,51,405,0.019753086419753086,0.0387409200968523,0.1568627450980392,2.4881704211544724
怪人二十面相,固有名詞,警官,名詞,8,543,47,582,0.013745704467353952,0.02711864406779661,0.1702127659574468,2.0210444107271743
わし,名詞,怪人二十面相,固有名詞,8,62,543,597,0.01340033500837521,0.026446280991735537,0.12903225806451613,1.6214369520179364
怪人二十面相,固有名詞,用意,名詞,8,543,24,559,0.014311270125223614,0.02821869488536155,0.3333333333333333,2.9906707616836554
事件,名詞,明智探偵,固有名詞,8,28,362,382,0.020942408376963352,0.041025641025641026,0.2857142857142857,3.353240841068364
十二,名詞,怪人二十面相,固有名詞,8,15,543,550,0.014545454545454545,0.02867383512544803,0.5333333333333333,3.668742666796293
怪人二十面相,固有名詞,面,名詞,8,543,9,544,0.014705882352941176,0.028985507246376812,0.8888888888888888,4.405708260962499
明智探偵,固有名詞,窓,名詞,8,362,58,412,0.019417475728155338,0.0380952380952381,0.13793103448275862,2.3026147679983957
怪人二十面相,固有名詞,館,名詞,8,543,53,588,0.013605442176870748,0.026845637583892617,0.1509433962264151,1.8477128078416123
もの,名詞,小林少年,固有名詞,7,157,169,319,0.0219435736677116,0.04294478527607362,0.044585987261146494,1.7722963870929658
怪人二十面相,固有名詞,話,名詞,7,543,25,561,0.012477718360071301,0.02464788732394366,0.28,2.739131994687691
入り口,名詞,怪人二十面相,固有名詞,7,13,543,549,0.012750455373406194,0.025179856115107913,0.5384615384615384,3.6825484663213235
姿,名詞,小林少年,固有名詞,7,51,169,213,0.03286384976525822,0.06363636363636363,0.13725490196078433,3.3944917940130974
ひと,名詞,小林少年,固有名詞,7,77,169,239,0.029288702928870293,0.056910569105691054,0.09090909090909091,2.8001305952896915
何,名詞,小林少年,固有名詞,7,75,169,237,0.029535864978902954,0.05737704918032787,0.09333333333333334,2.838098445488712
力,名詞,明智探偵,固有名詞,7,28,362,383,0.018276762402088774,0.035897435897435895,0.25,3.160595763125968
明智探偵,固有名詞,館長,名詞,7,362,21,376,0.018617021276595744,0.03655352480417755,0.3333333333333333,3.5756332624048115
宝物,名詞,怪人二十面相,固有名詞,7,23,543,559,0.012522361359570662,0.024734982332155476,0.30434782608695654,2.8594262284054026
小林少年,固有名詞,窓,名詞,7,169,58,220,0.031818181818181815,0.06167400881057269,0.1206896551724138,3.2089361408570207
怪人二十面相,固有名詞,怪盗,名詞,7,543,21,557,0.012567324955116697,0.024822695035460994,0.3333333333333333,2.9906707616836554
うえ,名詞,怪人二十面相,固有名詞,7,22,543,558,0.012544802867383513,0.024778761061946902,0.3181818181818182,2.9235565658251184
小林少年,固有名詞,顔,名詞,7,169,107,269,0.026022304832713755,0.050724637681159424,0.06542056074766354,2.325450149583446
人々,名詞,怪人二十面相,固有名詞,7,17,543,553,0.012658227848101266,0.025,0.4117647058823529,3.295525343212076
力,名詞,怪人二十面相,固有名詞,7,28,543,564,0.012411347517730497,0.024518388791593695,0.25,2.5756332624048115
怪人二十面相,固有名詞,誘かい,名詞,7,543,14,550,0.012727272727272728,0.025134649910233394,0.5,3.5756332624048115
おまわりさん,名詞,怪人二十面相,固有名詞,7,25,543,561,0.012477718360071301,0.02464788732394366,0.28,2.739131994687691
先生,名詞,小林少年,固有名詞,7,50,169,212,0.0330188679245283,0.0639269406392694,0.14,3.4230609462098682
前,名詞,怪人二十面相,固有名詞,7,35,543,571,0.012259194395796848,0.02422145328719723,0.2,2.2537051675174493
明智探偵,固有名詞,警視,名詞,7,362,31,386,0.018134715025906734,0.035623409669211195,0.22580645161290322,3.013754374796697
ぼく,名詞,小林少年,固有名詞,7,199,169,361,0.019390581717451522,0.03804347826086957,0.04142011834319527,1.430292515440944
助手,名詞,明智探偵,固有名詞,7,13,362,368,0.019021739130434784,0.037333333333333336,0.5384615384615384,4.26751096704248
明智探偵,固有名詞,警察,名詞,7,362,38,393,0.017811704834605598,0.035,0.18421052631578946,2.7200231717399865
あと,名詞,怪人二十面相,固有名詞,7,30,543,566,0.012367491166077738,0.02443280977312391,0.23333333333333334,2.476097588853897
うらみ,名詞,明智探偵,固有名詞,7,13,362,368,0.019021739130434784,0.037333333333333336,0.5384615384615384,4.26751096704248
とおり,名詞,怪人二十面相,固有名詞,7,20,543,556,0.012589928057553957,0.02486678507992895,0.35,3.061060089575053
ふた,名詞,怪人二十面相,固有名詞,7,61,543,597,0.011725293132328308,0.023178807947019868,0.11475409836065574,1.4522508468995294
明智探偵,固有名詞,目,名詞,6,362,62,418,0.014354066985645933,0.02830188679245283,0.0967741935483871,1.7913619534602487
団,名詞,小林少年,固有名詞,6,8,169,171,0.03508771929824561,0.06779661016949153,0.75,5.844524714648145
小学生,名詞,怪人二十面相,固有名詞,6,7,543,544,0.011029411764705883,0.02181818181818182,0.8571428571428571,4.353240841068364
ボーイ,名詞,怪人二十面相,固有名詞,6,25,543,562,0.010676156583629894,0.02112676056338028,0.24,2.516739573351243
思い,名詞,怪人二十面相,固有名詞,6,13,543,550,0.01090909090909091,0.02158273381294964,0.46153846153846156,3.4601560449848754
地下,名詞,小林少年,固有名詞,6,27,169,190,0.031578947368421054,0.061224489795918366,0.2222222222222222,4.089637212484677
そのへん,名詞,怪人二十面相,固有名詞,6,7,543,544,0.011029411764705883,0.02181818181818182,0.8571428571428571,4.353240841068364
先生,名詞,怪人二十面相,固有名詞,6,50,543,587,0.010221465076660987,0.02023608768971332,0.12,1.516739573351243
エレベーター,名詞,怪人二十面相,固有名詞,6,16,543,553,0.0108499095840868,0.02146690518783542,0.375,3.160595763125968
ピッポ,名詞,小林少年,固有名詞,6,19,169,182,0.03296703296703297,0.06382978723404255,0.3157894736842105,4.59659720120456
何,名詞,怪人二十面相,固有名詞,6,75,543,612,0.00980392156862745,0.019417475728155338,0.08,0.9317770726300868
壮一,名詞,怪人二十面相,固有名詞,6,33,543,570,0.010526315789473684,0.020833333333333332,0.18181818181818182,2.116201643767514
ホテル,名詞,怪人二十面相,固有名詞,6,25,543,562,0.010676156583629894,0.02112676056338028,0.24,2.516739573351243
怪人二十面相,固有名詞,辻野,名詞,6,543,25,562,0.010676156583629894,0.02112676056338028,0.24,2.516739573351243
一,名詞,小林少年,固有名詞,6,105,169,268,0.022388059701492536,0.043795620437956206,0.05714285714285714,2.1302791969820225
プラットホーム,名詞,小林少年,固有名詞,6,9,169,172,0.03488372093023256,0.06741573033707865,0.6666666666666666,5.674599713205833
怪人二十面相,固有名詞,洋館,名詞,6,543,8,545,0.011009174311926606,0.021778584392014518,0.75,4.160595763125968
怪人二十面相,固有名詞,足,名詞,6,543,12,549,0.01092896174863388,0.021621621621621623,0.5,3.5756332624048115
怪人二十面相,固有名詞,新聞,名詞,6,543,23,560,0.010714285714285714,0.02120141342756184,0.2608695652173913,2.637033807068955
怪人二十面相,固有名詞,東京,名詞,6,543,17,554,0.010830324909747292,0.02142857142857143,0.35294117647058826,3.0731329218756285
怪人二十面相,固有名詞,親分,名詞,6,543,10,547,0.010968921389396709,0.0216998191681736,0.6,3.8386676682386054
今,名詞,明智探偵,固有名詞,6,57,362,413,0.014527845036319613,0.028639618138424822,0.10526315789473684,1.9126682496823821
なわ,名詞,怪人二十面相,固有名詞,6,21,543,558,0.010752688172043012,0.02127659574468085,0.2857142857142857,2.7682783403472073
廊下,名詞,怪人二十面相,固有名詞,6,15,543,552,0.010869565217391304,0.021505376344086023,0.4,3.2537051675174493
夫人,名詞,明智探偵,固有名詞,6,10,362,366,0.01639344262295082,0.03225806451612903,0.6,4.423630168959762
明智探偵,固有名詞,肩,名詞,6,362,10,366,0.01639344262295082,0.03225806451612903,0.6,4.423630168959762
うしろ,名詞,明智探偵,固有名詞,6,17,362,373,0.0160857908847185,0.0316622691292876,0.35294117647058826,3.6580954225967846
怪人二十面相,固有名詞,警視,名詞,6,543,31,568,0.01056338028169014,0.020905923344947737,0.1935483870967742,2.2063994527390927
五,名詞,怪人二十面相,固有名詞,6,15,543,552,0.010869565217391304,0.021505376344086023,0.4,3.2537051675174493
怪人二十面相,固有名詞,約束,名詞,6,543,18,555,0.010810810810810811,0.0213903743315508,0.3333333333333333,2.9906707616836554
事件,名詞,怪人二十面相,固有名詞,6,28,543,565,0.010619469026548672,0.021015761821366025,0.21428571428571427,2.353240841068364
庁,名詞,怪人二十面相,固有名詞,6,19,543,556,0.01079136690647482,0.021352313167259787,0.3157894736842105,2.9126682496823824
室,名詞,明智探偵,固有名詞,6,58,362,414,0.014492753623188406,0.02857142857142857,0.10344827586206896,1.8875772687195518
声,名詞,明智探偵,固有名詞,6,55,362,411,0.014598540145985401,0.02877697841726619,0.10909090909090909,1.9641985503224644
ことば,名詞,怪人二十面相,固有名詞,6,27,543,564,0.010638297872340425,0.021052631578947368,0.2222222222222222,2.4057082609624993
明智探偵,固有名詞,盗賊,名詞,6,362,15,371,0.016172506738544475,0.03183023872679045,0.4,3.8386676682386054
明智探偵,固有名詞,門,名詞,6,362,29,385,0.015584415584415584,0.030690537084398978,0.20689655172413793,2.887577268719552
先,名詞,怪人二十面相,固有名詞,6,25,543,562,0.010676156583629894,0.02112676056338028,0.24,2.516739573351243
怪人二十面相,固有名詞,身,名詞,6,543,23,560,0.010714285714285714,0.02120141342756184,0.2608695652173913,2.637033807068955
まま,名詞,怪人二十面相,固有名詞,6,19,543,556,0.01079136690647482,0.021352313167259787,0.3157894736842105,2.9126682496823824
怪人二十面相,固有名詞,門,名詞,6,543,29,566,0.01060070671378092,0.02097902097902098,0.20689655172413793,2.3026147679983957
明智探偵,固有名詞,老,名詞,6,362,20,376,0.015957446808510637,0.031413612565445025,0.3,3.4236301689597615
小林少年,固有名詞,芳雄,名詞,6,169,6,169,0.03550295857988166,0.06857142857142857,1.0,6.259562213926989
前,名詞,明智探偵,固有名詞,6,35,362,391,0.015345268542199489,0.030226700251889168,0.17142857142857143,2.6162752469021573
口調,名詞,明智探偵,固有名詞,6,10,362,366,0.01639344262295082,0.03225806451612903,0.6,4.423630168959762
明智探偵,固有名詞,身,名詞,6,362,23,379,0.0158311345646438,0.03116883116883117,0.2608695652173913,3.221996307790111
ほか,名詞,明智探偵,固有名詞,5,26,362,383,0.013054830287206266,0.02577319587628866,0.19230769230769232,2.782084139872238
向こう,名詞,怪人二十面相,固有名詞,5,9,543,547,0.009140767824497258,0.018115942028985508,0.5555555555555556,3.7276363558498615
あんた,名詞,明智探偵,固有名詞,5,5,362,362,0.013812154696132596,0.027247956403269755,1.0,5.160595763125968
午後,名詞,怪人二十面相,固有名詞,5,14,543,552,0.009057971014492754,0.017953321364452424,0.35714285714285715,3.09020643523457
口,名詞,怪人二十面相,固有名詞,5,33,543,571,0.008756567425569177,0.017361111111111112,0.15151515151515152,1.8531672379337205
怪人二十面相,固有名詞,相,名詞,5,543,5,543,0.009208103130755065,0.01824817518248175,1.0,4.5756332624048115
上,名詞,明智探偵,固有名詞,5,45,362,402,0.012437810945273632,0.02457002457002457,0.1111111111111111,1.9906707616836554
あいつ,名詞,怪人二十面相,固有名詞,5,32,543,570,0.008771929824561403,0.017391304347826087,0.15625,1.897561357292174
外務,名詞,明智探偵,固有名詞,5,12,362,369,0.013550135501355014,0.026737967914438502,0.4166666666666667,3.8975613572921737
今夜,名詞,怪人二十面相,固有名詞,5,10,543,548,0.009124087591240875,0.018083182640144666,0.5,3.5756332624048115
明智探偵,固有名詞,部屋,名詞,5,362,59,416,0.01201923076923077,0.023752969121140142,0.0847457627118644,1.5998808086514889
明智探偵,固有名詞,省,名詞,5,362,12,369,0.013550135501355014,0.026737967914438502,0.4166666666666667,3.8975613572921737
怪人二十面相,固有名詞,諸君,名詞,5,543,28,566,0.0088339222614841,0.017513134851138354,0.17857142857142858,2.09020643523457
明智探偵,固有名詞,自身,名詞,5,362,12,369,0.013550135501355014,0.026737967914438502,0.4166666666666667,3.8975613572921737
口,名詞,明智探偵,固有名詞,5,33,362,390,0.01282051282051282,0.02531645569620253,0.15151515151515152,2.438129738654877
上,名詞,小林少年,固有名詞,5,45,169,209,0.023923444976076555,0.04672897196261682,0.1111111111111111,3.0896372124846763
とおり,名詞,明智探偵,固有名詞,5,20,362,377,0.013262599469496022,0.02617801047120419,0.25,3.160595763125968
明智探偵,固有名詞,自動車,名詞,5,362,51,408,0.012254901960784314,0.024213075060532687,0.09803921568627451,1.8100985160418346
人物,名詞,怪人二十面相,固有名詞,5,18,543,556,0.008992805755395683,0.017825311942959002,0.2777777777777778,2.7276363558498615
壮太郎,名詞,小林少年,固有名詞,5,53,169,217,0.02304147465437788,0.04504504504504504,0.09433962264150944,2.853569854251152
もん,名詞,怪人二十面相,固有名詞,5,17,543,555,0.009009009009009009,0.017857142857142856,0.29411764705882354,2.8100985160418346
明智探偵,固有名詞,頭,名詞,5,362,21,378,0.013227513227513227,0.02610966057441253,0.23809523809523808,3.09020643523457
塀,名詞,怪人二十面相,固有名詞,5,13,543,551,0.009074410163339383,0.017985611510791366,0.38461538461538464,3.197121639151082
とき,名詞,小林少年,固有名詞,5,43,169,207,0.024154589371980676,0.04716981132075472,0.11627906976744186,3.155225554112253
怪人二十面相,固有名詞,日本,名詞,5,543,11,549,0.009107468123861567,0.018050541516245487,0.45454545454545453,3.438129738654877
外,名詞,明智探偵,固有名詞,5,43,362,400,0.0125,0.024691358024691357,0.11627906976744186,2.0562591033112323
さしず,名詞,明智探偵,固有名詞,5,9,362,366,0.01366120218579235,0.026954177897574125,0.5555555555555556,4.312598856571018
ポーチ,名詞,明智探偵,固有名詞,5,8,362,365,0.0136986301369863,0.02702702702702703,0.625,4.48252385801333
怪人二十面相,固有名詞,近藤,名詞,5,543,18,556,0.008992805755395683,0.017825311942959002,0.2777777777777778,2.7276363558498615
ところ,名詞,小林少年,固有名詞,5,57,169,221,0.02262443438914027,0.04424778761061947,0.08771929824561403,2.7486002946496093
怪人二十面相,固有名詞,頭,名詞,5,543,21,559,0.008944543828264758,0.01773049645390071,0.23809523809523808,2.5052439345134134
怪人二十面相,固有名詞,首領,名詞,5,543,11,549,0.009107468123861567,0.018050541516245487,0.45454545454545453,3.438129738654877
ハハハ,名詞,怪人二十面相,固有名詞,5,47,543,585,0.008547008547008548,0.01694915254237288,0.10638297872340426,1.3429725056145365
壮,名詞,小林少年,固有名詞,5,37,169,201,0.024875621890547265,0.04854368932038835,0.13513513513513514,3.3720369431854014
怪人二十面相,固有名詞,裏,名詞,5,543,15,553,0.009041591320072333,0.017921146953405017,0.3333333333333333,2.9906707616836554
中村,名詞,怪人二十面相,固有名詞,5,32,543,570,0.008771929824561403,0.017391304347826087,0.15625,1.897561357292174
小林少年,固有名詞,羽柴,名詞,5,169,36,200,0.025,0.04878048780487805,0.1388888888888889,3.411565307372039
明智探偵,固有名詞,東京,名詞,5,362,17,374,0.013368983957219251,0.026385224274406333,0.29411764705882354,3.3950610167629907
