表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
いっ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
しまう,動詞,非自立,*,*,五段・ワ行促音便,基本形,しまう,シマウ,シマウ,一人二役
と,助詞,接続助詞,*,*,*,*,と,ト,ト,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
なに,名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,一人二役
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一人二役
思っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一人二役
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
すっと,副詞,一般,*,*,*,*,すっと,スット,スット,一人二役
立ちあがっ,動詞,自立,*,*,五段・ラ行,連用タ接続,立ちあがる,タチアガッ,タチアガッ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
ろう,名詞,一般,*,*,*,*,ろう,ロウ,ロー,一人二役
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一人二役
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,一人二役
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
いき,動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ,一人二役
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
うすぐらい,形容詞,自立,*,*,形容詞・アウオ段,基本形,うすぐらい,ウスグライ,ウスグライ,一人二役
ろう,名詞,一般,*,*,*,*,ろう,ロウ,ロー,一人二役
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
すみ,名詞,固有名詞,人名,名,*,*,すみ,スミ,スミ,一人二役
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
身,名詞,一般,*,*,*,*,身,ミ,ミ,一人二役
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一人二役
かくす,動詞,自立,*,*,五段・サ行,基本形,かくす,カクス,カクス,一人二役
と,助詞,接続助詞,*,*,*,*,と,ト,ト,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
ポケット,名詞,一般,*,*,*,*,ポケット,ポケット,ポケット,一人二役
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
ぐにゃぐにゃ,副詞,一般,*,*,*,*,ぐにゃぐにゃ,グニャグニャ,グニャグニャ,一人二役
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
ビニール,名詞,一般,*,*,*,*,ビニール,ビニール,ビニール,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
仮面,名詞,一般,*,*,*,*,仮面,カメン,カメン,一人二役
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一人二役
とりだし,動詞,自立,*,*,五段・サ行,連用形,とりだす,トリダシ,トリダシ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
あ,感動詞,*,*,*,*,*,あ,ア,ア,一人二役
たま,名詞,一般,*,*,*,*,たま,タマ,タマ,一人二役
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
すっぽり,副詞,一般,*,*,*,*,すっぽり,スッポリ,スッポリ,一人二役
と,助詞,格助詞,一般,*,*,*,と,ト,ト,一人二役
かぶり,動詞,自立,*,*,五段・ラ行,連用形,かぶる,カブリ,カブリ,一人二役
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
れい,名詞,一般,*,*,*,*,れい,レイ,レイ,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,一人二役
仮面,名詞,一般,*,*,*,*,仮面,カメン,カメン,一人二役
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
それから,接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
せびろ,名詞,一般,*,*,*,*,背広,セビロ,セビロ,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
上着,名詞,一般,*,*,*,*,上着,ウワギ,ウワギ,一人二役
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一人二役
ぬぐ,動詞,自立,*,*,五段・ガ行,基本形,ぬぐ,ヌグ,ヌグ,一人二役
と,助詞,接続助詞,*,*,*,*,と,ト,ト,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
くるっと,副詞,一般,*,*,*,*,くるっと,クルット,クルット,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
うらがえし,名詞,一般,*,*,*,*,裏返し,ウラガエシ,ウラガエシ,一人二役
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一人二役
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
また,接続詞,*,*,*,*,*,また,マタ,マタ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,一人二役
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一人二役
着,動詞,自立,*,*,一段,連用形,着る,キ,キ,一人二役
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
うらも,動詞,自立,*,*,五段・マ行,未然ウ接続,うらむ,ウラモ,ウラモ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,一人二役
もて,動詞,自立,*,*,一段,連用形,もてる,モテ,モテ,一人二役
と,動詞,非自立,*,*,五段・ラ行,体言接続特殊２,とる,ト,ト,一人二役
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ,一人二役
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,一人二役
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
でき,動詞,自立,*,*,一段,連用形,できる,デキ,デキ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
変装,名詞,サ変接続,*,*,*,*,変装,ヘンソウ,ヘンソー,一人二役
用,名詞,接尾,一般,*,*,*,用,ヨウ,ヨー,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
上着,名詞,一般,*,*,*,*,上着,ウワギ,ウワギ,一人二役
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一人二役
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一人二役
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
しかも,接続詞,*,*,*,*,*,しかも,シカモ,シカモ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,一人二役
う,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,うい,ウ,ウ,一人二役
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ,一人二役
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一人二役
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,一人二役
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
赤,名詞,一般,*,*,*,*,赤,アカ,アカ,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
ひと,名詞,一般,*,*,*,*,ひと,ヒト,ヒト,一人二役
いろ,動詞,自立,*,*,一段,命令ｒｏ,いる,イロ,イロ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
まるで,副詞,一般,*,*,*,*,まるで,マルデ,マルデ,一人二役
道化師,名詞,一般,*,*,*,*,道化師,ドウケシ,ドーケシ,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,一人二役
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一人二役
まっ,接頭詞,名詞接続,*,*,*,*,まっ,マッ,マッ,一人二役
かな,名詞,一般,*,*,*,*,かな,カナ,カナ,一人二役
上着,名詞,一般,*,*,*,*,上着,ウワギ,ウワギ,一人二役
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,一人二役
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
ろう,名詞,一般,*,*,*,*,ろう,ロウ,ロー,一人二役
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
むこう,名詞,形容動詞語幹,*,*,*,*,無効,ムコウ,ムコー,一人二役
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
この,連体詞,*,*,*,*,*,この,コノ,コノ,一人二役
家,名詞,一般,*,*,*,*,家,イエ,イエ,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
主人,名詞,一般,*,*,*,*,主人,シュジン,シュジン,一人二役
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一人二役
野村,名詞,固有名詞,人名,姓,*,*,野村,ノムラ,ノムラ,一人二役
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,一人二役
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
和,名詞,一般,*,*,*,*,和,ワ,ワ,一人二役
服す,動詞,自立,*,*,五段・サ行,基本形,服す,フクス,フクス,一人二役
がた,名詞,一般,*,*,*,*,がた,ガタ,ガタ,一人二役
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一人二役
ゆったり,副詞,助詞類接続,*,*,*,*,ゆったり,ユッタリ,ユッタリ,一人二役
と,助詞,副詞化,*,*,*,*,と,ト,ト,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ,一人二役
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一人二役
き,動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,一人二役
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
。,記号,句点,*,*,*,*,。,。,。,一人二役
みち子,名詞,固有名詞,人名,名,*,*,みち子,ミチコ,ミチコ,一人二役
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,一人二役
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
とりもどせ,動詞,自立,*,*,一段,連用形,とりもどせる,トリモドセ,トリモドセ,一人二役
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一人二役
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,一人二役
、,記号,読点,*,*,*,*,、,、,、,一人二役
