表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
少年探偵団,名詞,固有名詞,人名,一般,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,鉄塔の火星人
員,名詞,接尾,一般,*,*,*,員,イン,イン,鉄塔の火星人
で,助詞,格助詞,一般,*,*,*,で,デ,デ,鉄塔の火星人
、,記号,読点,*,*,*,*,、,、,、,鉄塔の火星人
中学,名詞,一般,*,*,*,*,中学,チュウガク,チューガク,鉄塔の火星人
一,名詞,数,*,*,*,*,一,イチ,イチ,鉄塔の火星人
年,名詞,接尾,助数詞,*,*,*,年,ネン,ネン,鉄塔の火星人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,鉄塔の火星人
中村,名詞,固有名詞,人名,姓,*,*,中村,ナカムラ,ナカムラ,鉄塔の火星人
君,名詞,接尾,人名,*,*,*,君,クン,クン,鉄塔の火星人
と,助詞,並立助詞,*,*,*,*,と,ト,ト,鉄塔の火星人
、,記号,読点,*,*,*,*,、,、,、,鉄塔の火星人
有田,名詞,固有名詞,人名,姓,*,*,有田,アリタ,アリタ,鉄塔の火星人
君,名詞,接尾,人名,*,*,*,君,クン,クン,鉄塔の火星人
と,助詞,並立助詞,*,*,*,*,と,ト,ト,鉄塔の火星人
、,記号,読点,*,*,*,*,、,、,、,鉄塔の火星人
長島,名詞,固有名詞,人名,姓,*,*,長島,ナガシマ,ナガシマ,鉄塔の火星人
君,名詞,接尾,人名,*,*,*,君,クン,クン,鉄塔の火星人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,鉄塔の火星人
三,名詞,数,*,*,*,*,三,サン,サン,鉄塔の火星人
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,鉄塔の火星人
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,鉄塔の火星人
、,記号,読点,*,*,*,*,、,、,、,鉄塔の火星人
大,名詞,一般,*,*,*,*,大,ダイ,ダイ,鉄塔の火星人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,鉄塔の火星人
なかよし,名詞,一般,*,*,*,*,なかよし,ナカヨシ,ナカヨシ,鉄塔の火星人
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,鉄塔の火星人
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,鉄塔の火星人
。,記号,句点,*,*,*,*,。,。,。,鉄塔の火星人
ある,連体詞,*,*,*,*,*,ある,アル,アル,鉄塔の火星人
午後,名詞,副詞可能,*,*,*,*,午後,ゴゴ,ゴゴ,鉄塔の火星人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,鉄塔の火星人
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,鉄塔の火星人
、,記号,読点,*,*,*,*,、,、,、,鉄塔の火星人
有田,名詞,固有名詞,人名,姓,*,*,有田,アリタ,アリタ,鉄塔の火星人
君,名詞,接尾,人名,*,*,*,君,クン,クン,鉄塔の火星人
と,助詞,並立助詞,*,*,*,*,と,ト,ト,鉄塔の火星人
長島,名詞,固有名詞,人名,姓,*,*,長島,ナガシマ,ナガシマ,鉄塔の火星人
君,名詞,接尾,人名,*,*,*,君,クン,クン,鉄塔の火星人
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,鉄塔の火星人
、,記号,読点,*,*,*,*,、,、,、,鉄塔の火星人
中村,名詞,固有名詞,人名,姓,*,*,中村,ナカムラ,ナカムラ,鉄塔の火星人
君,名詞,接尾,人名,*,*,*,君,クン,クン,鉄塔の火星人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,鉄塔の火星人
家,名詞,一般,*,*,*,*,家,イエ,イエ,鉄塔の火星人
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,鉄塔の火星人
、,記号,読点,*,*,*,*,、,、,、,鉄塔の火星人
遊び,名詞,一般,*,*,*,*,遊び,アソビ,アソビ,鉄塔の火星人
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,鉄塔の火星人
き,動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ,鉄塔の火星人
て,助詞,接続助詞,*,*,*,*,て,テ,テ,鉄塔の火星人
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,鉄塔の火星人
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,鉄塔の火星人
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,鉄塔の火星人
。,記号,句点,*,*,*,*,。,。,。,鉄塔の火星人
中村,名詞,固有名詞,人名,姓,*,*,中村,ナカムラ,ナカムラ,鉄塔の火星人
君,名詞,接尾,人名,*,*,*,君,クン,クン,鉄塔の火星人
の,助詞,連体化,*,*,*,*,の,ノ,ノ,鉄塔の火星人
家,名詞,一般,*,*,*,*,家,イエ,イエ,鉄塔の火星人
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,鉄塔の火星人
港区,名詞,固有名詞,一般,*,*,*,港区,ミナトク,ミナトク,鉄塔の火星人
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,鉄塔の火星人
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,鉄塔の火星人
しき,名詞,一般,*,*,*,*,しき,シキ,シキ,鉄塔の火星人
町,名詞,接尾,地域,*,*,*,町,マチ,マチ,鉄塔の火星人
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,鉄塔の火星人
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,鉄塔の火星人
、,記号,読点,*,*,*,*,、,、,、,鉄塔の火星人
