表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
の,助詞,連体化,*,*,*,*,の,ノ,ノ,骸骨紳士
あだな,名詞,一般,*,*,*,*,あだな,アダナ,アダナ,骸骨紳士
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,骸骨紳士
。,記号,句点,*,*,*,*,。,。,。,骸骨紳士
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,骸骨紳士
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,骸骨紳士
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,骸骨紳士
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,骸骨紳士
の,助詞,連体化,*,*,*,*,の,ノ,ノ,骸骨紳士
うち,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ,骸骨紳士
で,助詞,格助詞,一般,*,*,*,で,デ,デ,骸骨紳士
いちばん,名詞,副詞可能,*,*,*,*,いちばん,イチバン,イチバン,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
おくびょうもの,名詞,一般,*,*,*,*,臆病者,オクビョウモノ,オクビョーモノ,骸骨紳士
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,骸骨紳士
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
ちゃめ,名詞,一般,*,*,*,*,ちゃめ,チャメ,チャメ,骸骨紳士
で,助詞,格助詞,一般,*,*,*,で,デ,デ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
あい,名詞,一般,*,*,*,*,あい,アイ,アイ,骸骨紳士
きょう,名詞,副詞可能,*,*,*,*,きょう,キョウ,キョー,骸骨紳士
も,助詞,係助詞,*,*,*,*,も,モ,モ,骸骨紳士
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,骸骨紳士
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,骸骨紳士
すか,動詞,自立,*,*,五段・カ行イ音便,未然形,すく,スカ,スカ,骸骨紳士
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,骸骨紳士
て,助詞,接続助詞,*,*,*,*,て,テ,テ,骸骨紳士
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,骸骨紳士
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,骸骨紳士
。,記号,句点,*,*,*,*,。,。,。,骸骨紳士
井上一郎,名詞,固有名詞,人名,一般,*,*,井上一郎,イノウエイチロウ,イノーエイチロー,骸骨紳士
