表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
ある,連体詞,*,*,*,*,*,ある,アル,アル,１
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,１
ひる,動詞,自立,*,*,一段,基本形,ひる,ヒル,ヒル,１
すぎ,名詞,接尾,副詞可能,*,*,*,すぎ,スギ,スギ,１
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,１
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,１
。,記号,句点,*,*,*,*,。,。,。,１
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,１
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１
まつ,名詞,一般,*,*,*,*,まつ,マツ,マツ,１
なみ,名詞,接尾,一般,*,*,*,なみ,ナミ,ナミ,１
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,１
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,１
てい,名詞,一般,*,*,*,*,てい,テイ,テイ,１
で,助詞,格助詞,一般,*,*,*,で,デ,デ,１
、,記号,読点,*,*,*,*,、,、,、,１
みんな,名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,１
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,１
あそん,動詞,自立,*,*,五段・バ行,連用タ接続,あそぶ,アソン,アソン,１
で,助詞,接続助詞,*,*,*,*,で,デ,デ,１
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,１
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,１
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１
。,記号,句点,*,*,*,*,。,。,。,１
休み時間,名詞,固有名詞,一般,*,*,*,休み時間,ヤスミジカン,ヤスミジカン,１
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,１
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,１
、,記号,読点,*,*,*,*,、,、,、,１
一年生,名詞,一般,*,*,*,*,一年生,イチネンセイ,イチネンセイ,１
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,１
六年生,名詞,固有名詞,一般,*,*,*,六年生,ロクネンセイ,ロクネンセイ,１
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,１
、,記号,読点,*,*,*,*,、,、,、,１
