表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
君,名詞,接尾,人名,*,*,*,君,クン,クン,動く映画館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,動く映画館
クラス,名詞,一般,*,*,*,*,クラス,クラス,クラス,動く映画館
で,助詞,格助詞,一般,*,*,*,で,デ,デ,動く映画館
も,助詞,係助詞,*,*,*,*,も,モ,モ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
いちばん,名詞,副詞可能,*,*,*,*,いちばん,イチバン,イチバン,動く映画館
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,動く映画館
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,動く映画館
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,動く映画館
大きく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,大きい,オオキク,オーキク,動く映画館
力,名詞,一般,*,*,*,*,力,チカラ,チカラ,動く映画館
も,助詞,係助詞,*,*,*,*,も,モ,モ,動く映画館
強い,形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,動く映画館
うえ,名詞,非自立,副詞可能,*,*,*,うえ,ウエ,ウエ,動く映画館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
ときどき,名詞,一般,*,*,*,*,時時,トキドキ,トキドキ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,動く映画館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,動く映画館
ボクシング,名詞,一般,*,*,*,*,ボクシング,ボクシング,ボクシング,動く映画館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,動く映画館
ならっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,ならう,ナラッ,ナラッ,動く映画館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,動く映画館
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,動く映画館
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
だれ,名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ,動く映画館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,動く映画館
も,助詞,係助詞,*,*,*,*,も,モ,モ,動く映画館
負け,動詞,自立,*,*,一段,連用形,負ける,マケ,マケ,動く映画館
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,動く映画館
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
野呂,名詞,固有名詞,人名,姓,*,*,野呂,ノロ,ノロ,動く映画館
君,名詞,接尾,人名,*,*,*,君,クン,クン,動く映画館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,動く映画館
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,動く映画館
君,名詞,接尾,人名,*,*,*,君,クン,クン,動く映画館
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,動く映画館
くらべる,動詞,自立,*,*,一段,基本形,くらべる,クラベル,クラベル,動く映画館
と,助詞,接続助詞,*,*,*,*,と,ト,ト,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
ぐっと,副詞,一般,*,*,*,*,ぐっと,グット,グット,動く映画館
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,動く映画館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,動く映画館
小さく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,小さい,チイサク,チーサク,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
なかなか,副詞,助詞類接続,*,*,*,*,なかなか,ナカナカ,ナカナカ,動く映画館
チャメスケ,名詞,一般,*,*,*,*,*,*,*,動く映画館
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,動く映画館
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,動く映画館
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,動く映画館
あだな,名詞,一般,*,*,*,*,あだな,アダナ,アダナ,動く映画館
で,助詞,格助詞,一般,*,*,*,で,デ,デ,動く映画館
とおっ,動詞,自立,*,*,五段・ラ行,連用タ接続,とおる,トオッ,トーッ,動く映画館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,動く映画館
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,動く映画館
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
そういう,連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,動く映画館
ふう,名詞,非自立,形容動詞語幹,*,*,*,ふう,フウ,フー,動く映画館
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
からだ,名詞,一般,*,*,*,*,からだ,カラダ,カラダ,動く映画館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,動く映画館
かっこう,名詞,一般,*,*,*,*,かっこう,カッコウ,カッコー,動く映画館
も,助詞,係助詞,*,*,*,*,も,モ,モ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
性質,名詞,一般,*,*,*,*,性質,セイシツ,セイシツ,動く映画館
も,助詞,係助詞,*,*,*,*,も,モ,モ,動く映画館
ちがっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,ちがう,チガッ,チガッ,動く映画館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,動く映画館
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,動く映画館
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,動く映画館
けれども,助詞,接続助詞,*,*,*,*,けれども,ケレドモ,ケレドモ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
ふたり,名詞,一般,*,*,*,*,ふたり,フタリ,フタリ,動く映画館
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,動く映画館
大,名詞,一般,*,*,*,*,大,ダイ,ダイ,動く映画館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,動く映画館
なかよし,名詞,一般,*,*,*,*,なかよし,ナカヨシ,ナカヨシ,動く映画館
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,動く映画館
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
「,記号,括弧開,*,*,*,*,「,「,「,動く映画館
おやっ,感動詞,*,*,*,*,*,おやっ,オヤッ,オヤッ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
あれ,感動詞,*,*,*,*,*,あれ,アレ,アレ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
なんだろう,名詞,固有名詞,一般,*,*,*,なんだろう,ナンダロウ,ナンダロー,動く映画館
