表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
て,助詞,接続助詞,*,*,*,*,て,テ,テ,老人形師
ある,動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル,老人形師
マネキン人形,名詞,固有名詞,一般,*,*,*,マネキン人形,マネキンニンギョウ,マネキンニンギョー,老人形師
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
どこ,名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,老人形師
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,老人形師
仕入れ,動詞,自立,*,*,一段,連用形,仕入れる,シイレ,シイレ,老人形師
て,助詞,接続助詞,*,*,*,*,て,テ,テ,老人形師
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,老人形師
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,老人形師
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,老人形師
と,助詞,格助詞,引用,*,*,*,と,ト,ト,老人形師
訊ね,動詞,自立,*,*,一段,連用形,訊ねる,タズネ,タズネ,老人形師
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,老人形師
。,記号,句点,*,*,*,*,。,。,。,老人形師
マネキン,名詞,一般,*,*,*,*,マネキン,マネキン,マネキン,老人形師
問屋,名詞,一般,*,*,*,*,問屋,トンヤ,トンヤ,老人形師
の,助詞,連体化,*,*,*,*,の,ノ,ノ,老人形師
電話番号,名詞,固有名詞,一般,*,*,*,電話番号,デンワバンゴウ,デンワバンゴー,老人形師
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,老人形師
わかっ,動詞,自立,*,*,五段・ラ行,連用タ接続,わかる,ワカッ,ワカッ,老人形師
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,老人形師
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,老人形師
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,老人形師
電話,名詞,サ変接続,*,*,*,*,電話,デンワ,デンワ,老人形師
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,老人形師
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,老人形師
。,記号,句点,*,*,*,*,。,。,。,老人形師
こちら,名詞,代名詞,一般,*,*,*,こちら,コチラ,コチラ,老人形師
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,老人形師
小説家,名詞,固有名詞,人名,一般,*,*,小説家,ショウセツカ,ショーセツカ,老人形師
の,助詞,連体化,*,*,*,*,の,ノ,ノ,老人形師
大江,名詞,固有名詞,人名,姓,*,*,大江,オオエ,オーエ,老人形師
蘭,名詞,固有名詞,人名,名,*,*,蘭,ラン,ラン,老人形師
堂,名詞,接尾,一般,*,*,*,堂,ドウ,ドー,老人形師
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,老人形師
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,老人形師
師,名詞,接尾,一般,*,*,*,師,シ,シ,老人形師
の,助詞,連体化,*,*,*,*,の,ノ,ノ,老人形師
仕事,名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,老人形師
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,老人形師
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,老人形師
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,老人形師
たい,助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,老人形師
。,記号,句点,*,*,*,*,。,。,。,老人形師
なるべく,副詞,助詞類接続,*,*,*,*,なるべく,ナルベク,ナルベク,老人形師
奇怪,名詞,形容動詞語幹,*,*,*,*,奇怪,キカイ,キカイ,老人形師
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,老人形師
仕事,名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,老人形師
部屋,名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,老人形師
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,老人形師
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,老人形師
。,記号,句点,*,*,*,*,。,。,。,老人形師
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,老人形師
変り者,名詞,一般,*,*,*,*,変り者,カワリモノ,カワリモノ,老人形師
の,助詞,連体化,*,*,*,*,の,ノ,ノ,老人形師
人形,名詞,一般,*,*,*,*,人形,ニンギョウ,ニンギョー,老人形師
師,名詞,接尾,一般,*,*,*,師,シ,シ,老人形師
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,老人形師
教え,動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,老人形師
て,助詞,接続助詞,*,*,*,*,て,テ,テ,老人形師
くれ,動詞,非自立,*,*,一段・クレル,未然形,くれる,クレ,クレ,老人形師
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,老人形師
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,老人形師
と,助詞,格助詞,引用,*,*,*,と,ト,ト,老人形師
云う,動詞,自立,*,*,五段・ワ行促音便,基本形,云う,イウ,イウ,老人形師
と,助詞,接続助詞,*,*,*,*,と,ト,ト,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
先方,名詞,一般,*,*,*,*,先方,センポウ,センポー,老人形師
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,老人形師
電話,名詞,サ変接続,*,*,*,*,電話,デンワ,デンワ,老人形師
口,名詞,接尾,一般,*,*,*,口,グチ,グチ,老人形師
で,助詞,格助詞,一般,*,*,*,で,デ,デ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
エヘヘヘヘヘ,名詞,一般,*,*,*,*,*,*,*,老人形師
と,助詞,並立助詞,*,*,*,*,と,ト,ト,老人形師
気味,名詞,一般,*,*,*,*,気味,キミ,キミ,老人形師
わるく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,わるい,ワルク,ワルク,老人形師
笑っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,笑う,ワラッ,ワラッ,老人形師
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,老人形師
。,記号,句点,*,*,*,*,。,。,。,老人形師
「,記号,括弧開,*,*,*,*,「,「,「,老人形師
あなた,名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ,老人形師
さま,名詞,接尾,人名,*,*,*,さま,サマ,サマ,老人形師
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,老人形師
、,記号,読点,*,*,*,*,、,、,、,老人形師
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,老人形師
恐ろしい,形容詞,自立,*,*,形容詞・イ段,基本形,恐ろしい,オソロシイ,オソロシイ,老人形師
怪奇小説,名詞,固有名詞,一般,*,*,*,怪奇小説,カイキショウセツ,カイキショーセツ,老人形師
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,老人形師
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,老人形師
書き,名詞,接尾,一般,*,*,*,書き,ガキ,ガキ,老人形師
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,老人形師
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,老人形師
大江,名詞,固有名詞,人名,姓,*,*,大江,オオエ,オーエ,老人形師
蘭,名詞,固有名詞,人名,名,*,*,蘭,ラン,ラン,老人形師
堂,名詞,接尾,一般,*,*,*,堂,ドウ,ドー,老人形師
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,老人形師
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,老人形師
