表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
或,連体詞,*,*,*,*,*,或,アル,アル,< 章なし >,0,0
年,名詞,一般,*,*,*,*,年,トシ,トシ,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
冬休み,名詞,一般,*,*,*,*,冬休み,フユヤスミ,フユヤスミ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
友人,名詞,一般,*,*,*,*,友人,ユウジン,ユージン,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
林一郎,名詞,固有名詞,人名,一般,*,*,林一郎,ハヤシイチロウ,ハヤシイチロー,< 章なし >,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >,0,0
一通,名詞,一般,*,*,*,*,一通,イッツウ,イッツー,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
招待,名詞,サ変接続,*,*,*,*,招待,ショウタイ,ショータイ,< 章なし >,0,0
状,名詞,接尾,一般,*,*,*,状,ジョウ,ジョー,< 章なし >,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,0
受け取っ,動詞,自立,*,*,五段・ラ行,連用タ接続,受け取る,ウケトッ,ウケトッ,< 章なし >,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,0
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,0
手紙,名詞,一般,*,*,*,*,手紙,テガミ,テガミ,< 章なし >,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
弟,名詞,一般,*,*,*,*,弟,オトウト,オトート,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
二郎,名詞,固有名詞,人名,名,*,*,二郎,ジロウ,ジロー,< 章なし >,0,1
と,助詞,並立助詞,*,*,*,*,と,ト,ト,< 章なし >,0,1
一緒に,名詞,固有名詞,一般,*,*,*,一緒に,イッショニ,イッショニ,< 章なし >,0,1
一,名詞,数,*,*,*,*,一,イチ,イチ,< 章なし >,0,1
週間,名詞,接尾,助数詞,*,*,*,週間,シュウカン,シューカン,< 章なし >,0,1
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ,< 章なし >,0,1
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,< 章なし >,0,1
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >,0,1
こちら,名詞,代名詞,一般,*,*,*,こちら,コチラ,コチラ,< 章なし >,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,1
来,動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,< 章なし >,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
毎日,名詞,固有名詞,組織,*,*,*,毎日,マイニチ,マイニチ,< 章なし >,0,1
狩猟,名詞,サ変接続,*,*,*,*,狩猟,シュリョウ,シュリョー,< 章なし >,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,1
日,名詞,一般,*,*,*,*,日,ヒ,ヒ,< 章なし >,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,1
暮し,動詞,自立,*,*,五段・サ行,連用形,暮す,クラシ,クラシ,< 章なし >,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,1
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,< 章なし >,0,1
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
二人,名詞,一般,*,*,*,*,二人,フタリ,フタリ,< 章なし >,0,1
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,< 章なし >,0,1
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,1
面白く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,面白い,オモシロク,オモシロク,< 章なし >,0,1
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >,0,1
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
暇,名詞,一般,*,*,*,*,暇,ヒマ,ヒマ,< 章なし >,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,1
あれ,動詞,自立,*,*,五段・ラ行,仮定形,ある,アレ,アレ,< 章なし >,0,1
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,< 章なし >,0,1
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,1
遊び,名詞,一般,*,*,*,*,遊び,アソビ,アソビ,< 章なし >,0,1
