表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
珍奇,名詞,形容動詞語幹,*,*,*,*,珍奇,チンキ,チンキ,,,,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,0
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
次々,副詞,助詞類接続,*,*,*,*,次々,ツギツギ,ツギツギ,,,,0,0
と,助詞,副詞化,*,*,*,*,と,ト,ト,,,,0,0
語り合っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,語り合う,カタリアッ,カタリアッ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
Ｋ,記号,アルファベット,*,*,*,*,Ｋ,ケイ,ケイ,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
最後,名詞,一般,*,*,*,*,最後,サイゴ,サイゴ,,,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,0
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,,,,0,0
ふう,名詞,非自立,形容動詞語幹,*,*,*,ふう,フウ,フー,,,,0,0
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,,,,0,0
はじめ,動詞,自立,*,*,一段,連用形,はじめる,ハジメ,ハジメ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
ほんとうに,名詞,固有名詞,一般,*,*,*,ほんとうに,ホントウニ,ホントーニ,,,,0,1
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,1
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
Ｋ,記号,アルファベット,*,*,*,*,Ｋ,ケイ,ケイ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
作り話,名詞,一般,*,*,*,*,作り話,ツクリバナシ,ツクリバナシ,,,,0,1
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,,,,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,1
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
その後,名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
尋ね,動詞,自立,*,*,一段,連用形,尋ねる,タズネ,タズネ,,,,0,1
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,1
み,動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,,,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,1
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,,,,0,1
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,,,0,1
