表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,１マントにんぎょうのまき,,,0,3
て,助詞,接続助詞,*,*,*,*,て,テ,テ,１マントにんぎょうのまき,,,0,3
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,3
ふるい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ふるい,フルイ,フルイ,１マントにんぎょうのまき,,,0,3
せいよ,名詞,一般,*,*,*,*,声誉,セイヨ,セイヨ,１マントにんぎょうのまき,,,0,3
うかん,動詞,自立,*,*,五段・バ行,連用タ接続,うかぶ,ウカン,ウカン,１マントにんぎょうのまき,,,0,3
で,助詞,接続助詞,*,*,*,*,で,デ,デ,１マントにんぎょうのまき,,,0,3
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,3
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,１マントにんぎょうのまき,,,0,3
まわり,名詞,一般,*,*,*,*,まわり,マワリ,マワリ,１マントにんぎょうのまき,,,0,3
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,3
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,3
木,名詞,一般,*,*,*,*,木,キ,キ,１マントにんぎょうのまき,,,0,3
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,3
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,１マントにんぎょうのまき,,,0,3
ぱいはえたにわでかこまれていました,名詞,一般,*,*,*,*,*,*,*,１マントにんぎょうのまき,,,0,3
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,3
この,連体詞,*,*,*,*,*,この,コノ,コノ,１マントにんぎょうのまき,,,0,4
ふし,名詞,非自立,一般,*,*,*,ふし,フシ,フシ,１マントにんぎょうのまき,,,0,4
ぎないえのふしぎな,名詞,一般,*,*,*,*,*,*,*,１マントにんぎょうのまき,,,0,4
人,名詞,接尾,一般,*,*,*,人,ジン,ジン,１マントにんぎょうのまき,,,0,4
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,１マントにんぎょうのまき,,,0,4
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,4
林,名詞,固有名詞,人名,姓,*,*,林,ハヤシ,ハヤシ,１マントにんぎょうのまき,,,0,4
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,１マントにんぎょうのまき,,,0,4
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,１マントにんぎょうのまき,,,0,4
、,記号,読点,*,*,*,*,、,、,、,１マントにんぎょうのまき,,,0,4
四十,名詞,固有名詞,人名,姓,*,*,四十,ヨト,ヨト,１マントにんぎょうのまき,,,0,4
ぐらい,助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,１マントにんぎょうのまき,,,0,4
の,助詞,連体化,*,*,*,*,の,ノ,ノ,１マントにんぎょうのまき,,,0,4
おじさん,名詞,一般,*,*,*,*,おじさん,オジサン,オジサン,１マントにんぎょうのまき,,,0,4
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,１マントにんぎょうのまき,,,0,4
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,１マントにんぎょうのまき,,,0,4
。,記号,句点,*,*,*,*,。,。,。,１マントにんぎょうのまき,,,0,4
