表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
「,記号,括弧開,*,*,*,*,「,「,「,,,,0,0
ここ,名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
お国,名詞,一般,*,*,*,*,御国,オクニ,オクニ,,,,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,0
何,名詞,数,*,*,*,*,何,ナン,ナン,,,,0,0
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク,,,,0,0
里,名詞,一般,*,*,*,*,里,サト,サト,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
離れ,動詞,自立,*,*,一段,連用形,離れる,ハナレ,ハナレ,,,,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,,,,0,0
遠き,形容詞,自立,*,*,形容詞・アウオ段,体言接続,遠い,トオキ,トーキ,,,,0,0
満洲,名詞,固有名詞,一般,*,*,*,満洲,マンシュウ,マンシュー,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
…,記号,一般,*,*,*,*,…,…,…,,,,0,0
…,記号,一般,*,*,*,*,…,…,…,,,,0,0
」,記号,括弧閉,*,*,*,*,」,」,」,,,,0,0
ガラガラ,名詞,形容動詞語幹,*,*,*,*,ガラガラ,ガラガラ,ガラガラ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
ゴットン,名詞,一般,*,*,*,*,*,*,*,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
ガラガラ,名詞,形容動詞語幹,*,*,*,*,ガラガラ,ガラガラ,ガラガラ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
ゴットン,名詞,一般,*,*,*,*,*,*,*,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
廻転,名詞,サ変接続,*,*,*,*,廻転,カイテン,カイテン,,,,0,0
木馬,名詞,一般,*,*,*,*,木馬,モクバ,モクバ,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
廻る,動詞,自立,*,*,五段・ラ行,基本形,廻る,メグル,メグル,,,,0,0
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,0
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
今年,名詞,副詞可能,*,*,*,*,今年,コトシ,コトシ,,,,0,1
五,名詞,数,*,*,*,*,五,ゴ,ゴ,,,,0,1
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,,,,0,1
幾,名詞,数,*,*,*,*,幾,イク,イク,,,,0,1
歳,名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
格,名詞,一般,*,*,*,*,格,カク,カク,,,,0,1
二,名詞,数,*,*,*,*,二,ニ,ニ,,,,0,1
郎,名詞,一般,*,*,*,*,郎,ロウ,ロー,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
好き,名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,,,,0,1
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,1
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
ラッパ,名詞,一般,*,*,*,*,ラッパ,ラッパ,ラッパ,,,,0,1
吹きで,動詞,自立,*,*,一段,連用形,吹きでる,フキデ,フキデ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
昔,名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,,,,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,1
それでも,接続詞,*,*,*,*,*,それでも,ソレデモ,ソレデモ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
郷里,名詞,一般,*,*,*,*,郷里,キョウリ,キョーリ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
町,名詞,一般,*,*,*,*,町,マチ,マチ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
活動,名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー,,,,0,1
館,名詞,接尾,一般,*,*,*,館,カン,カン,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
花形,名詞,一般,*,*,*,*,花形,ハナガタ,ハナガタ,,,,0,1
音楽,名詞,一般,*,*,*,*,音楽,オンガク,オンガク,,,,0,1
師,名詞,接尾,一般,*,*,*,師,シ,シ,,,,0,1
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,,,,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
やがて,副詞,一般,*,*,*,*,やがて,ヤガテ,ヤガテ,,,,0,1
はやり,動詞,自立,*,*,五段・ラ行,連用形,はやる,ハヤリ,ハヤリ,,,,0,1
