表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
○,記号,一般,*,*,*,*,○,○,○,,,,0,0
○,記号,一般,*,*,*,*,○,○,○,,,,0,0
造船,名詞,サ変接続,*,*,*,*,造船,ゾウセン,ゾーセン,,,,0,0
株式会社,名詞,一般,*,*,*,*,株式会社,カブシキガイシャ,カブシキガイシャ,,,,0,0
会計,名詞,サ変接続,*,*,*,*,会計,カイケイ,カイケイ,,,,0,0
係,名詞,接尾,一般,*,*,*,係,ガカリ,ガカリ,,,,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,0
Ｔ,記号,アルファベット,*,*,*,*,Ｔ,ティー,ティー,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー,,,,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,,,0,0
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,,,,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,,,,0,0
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,,,0,0
、,記号,読点,*,*,*,*,、,、,、,,,,0,0
いつ,名詞,代名詞,一般,*,*,*,いつ,イツ,イツ,,,,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,0
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,,,,0,0
早く,名詞,一般,*,*,*,*,早く,ハヤク,ハヤク,,,,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,,,,0,0
事務所,名詞,一般,*,*,*,*,事務所,ジムショ,ジムショ,,,,0,0
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,,,0,0
やって来,動詞,自立,*,*,カ変・来ル,連用形,やって来る,ヤッテキ,ヤッテキ,,,,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,,,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,,,0,0
。,記号,句点,*,*,*,*,。,。,。,,,,0,0
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
会計,名詞,サ変接続,*,*,*,*,会計,カイケイ,カイケイ,,,,0,1
部,名詞,接尾,一般,*,*,*,部,ブ,ブ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
事務,名詞,一般,*,*,*,*,事務,ジム,ジム,,,,0,1
室,名詞,接尾,一般,*,*,*,室,シツ,シツ,,,,0,1
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,,,,0,1
入る,動詞,自立,*,*,五段・ラ行,基本形,入る,ハイル,ハイル,,,,0,1
と,助詞,接続助詞,*,*,*,*,と,ト,ト,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
外とう,名詞,一般,*,*,*,*,外とう,ガイトウ,ガイトー,,,,0,1
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,,,0,1
帽子,名詞,一般,*,*,*,*,帽子,ボウシ,ボーシ,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
かた,動詞,自立,*,*,五段・タ行,未然形,かつ,カタ,カタ,,,,0,1
え,フィラー,*,*,*,*,*,え,エ,エ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
壁,名詞,一般,*,*,*,*,壁,カベ,カベ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
かけ,動詞,自立,*,*,一段,連用形,かける,カケ,カケ,,,,0,1
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
如何,名詞,一般,*,*,*,*,如何,イカ,イカ,,,,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,,,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,,,,0,1
落ちつか,動詞,自立,*,*,五段・カ行イ音便,未然形,落ちつく,オチツカ,オチツカ,,,,0,1
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,,,,0,1
様子,名詞,一般,*,*,*,*,様子,ヨウス,ヨース,,,,0,1
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,,,0,1
、,記号,読点,*,*,*,*,、,、,、,,,,0,1
キョロキョロ,名詞,サ変接続,*,*,*,*,キョロキョロ,キョロキョロ,キョロキョロ,,,,0,1
と,助詞,並立助詞,*,*,*,*,と,ト,ト,,,,0,1
室,名詞,一般,*,*,*,*,室,シツ,シツ,,,,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,,,0,1
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,,,,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,,,0,1
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,,,,0,1
まわす,動詞,自立,*,*,五段・サ行,基本形,まわす,マワス,マワス,,,,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,,,,0,1
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,,,,0,1
