first,second,count
はかせ,まほう,26
カブト,ムシ,19
かいちゅう,でんとう,18
じん,せいどう,15
しょうねん,たんてい,12
せい,ようかん,12
たんてい,明智,12
ふた,鉄,12
スギ,一,10
たんてい,小林,9
小林,木村,9
井上,小林,9
たんてい,ヘリコプター,9
しつ,ちか,8
スギ,木,8
ちか,室,8
カブト,中,7
ムシ,中,7
小林,明智,7
うち,ユウ子,7
ユウ子,小林,7
井上,木村,7
ノロ,小林,7
スギ,ノロ,7
ノロ,ユウ子,7
おとな,ばい,7
こと,ミドリ,6
中,森,6
ようかん,中,6
せい,中,6
おばけ,やしき,6
なわ,ばしご,6
あな,ゆか,6
先生,明智,6
ユウ子,手,6
しょうねん,せっこう,6
てっぺん,スギ,6
五,小林,6
五,井上,6
ユウ子,木村,6
ユウ子,井上,6
ノロ,木,6
中,口,6
おとな,三,6
ばい,三,6
じん,空,6
マント,男,5
たんてい,だんいん,5
マント,黒,5
ようかん,森,5
せい,森,5
うち,こと,5
あな,下,5
だんいん,小林,5
はは,わ,5
きみ,ちえ,5
でんわ,明智,5
くび,しょうねん,5
くび,せっこう,5
たんてい,だん,5
一,五,5
原っぱ,小林,5
ユウ子,五,5
中,五,5
五,木村,5
ノロ,五,5
ノロ,原っぱ,5
ノロ,木村,5
じん,ガス,5
ガス,ビニール,5
じん,ビニール,5
ヘリコプター,明智,5
じん,ヘリコプター,5
サト,子,4
世田谷,木村,4
三,方,4
しょうねん,だんいん,4
こと,三,4
男,黒,4
かい,二,4
まど,中,4
ふた,中,4
たんてい,ふた,4
中,小林,4
やしき,小林,4
おばけ,小林,4
かいちゅう,へや,4
でんとう,へや,4
ちか,小林,4
あな,おなか,4
ゆか,下,4
くらべ,ちえ,4
はかせ,小林,4
しょ,たんてい,4
しょ,明智,4
だんいん,ユウ子,4
しょうねん,ユウ子,4
ユウ子,ルビー,4
せっこう,ユウ子,4
の,ユウ子,4
ユウ子,中,4
かお,男,4
ひげ,男,4
せっこう,ぞう,4
かくし,ばしょ,4
はかせ,ユウ子,4
まほう,ユウ子,4
スギ,五,4
二十五,五,4
一,三,4
注意,番人,4
五,原っぱ,4
ノロ,声,4
てっぺん,木,4
かげ,スギ,4
ユウ子,原っぱ,4
原っぱ,木村,4
ノロ,井上,4
井上,手,4
井上,足,4
方,空,4
じん,ゆか,4
じん,ふうせん,4
そうじゅう,たんてい,4
そうじゅう,ヘリコプター,4
サーチ,ライト,4
サト,サユリ,3
サト,ミドリ,3
サユリ,子,3
ミドリ,子,3
サユリ,ミドリ,3
ミドリ,木村,3
こと,中,3
マント,人,3
あくま,人,3
せいよう,人,3
あくま,せいよう,3
こと,しょうねん,3
こと,たんてい,3
こと,にいさん,3
こと,敏夫,3
しょうねん,敏夫,3
だんいん,敏夫,3
たんてい,敏夫,3
にいさん,敏夫,3
にいさん,ミドリ,3
ミドリ,敏夫,3
せい,やしき,3
せい,人,3
おばけ,せい,3
やしき,ようかん,3
ようかん,人,3
おばけ,ようかん,3
こと,の,3
こと,せい,3
こと,ようかん,3
かい,まど,3
まど,二,3
の,まど,3
せい,方,3
かお,まど,3
まど,女の子,3
口,声,3
うち,ミドリ,3
とうさん,ミドリ,3
あくま,マント,3
こと,小林,3
うち,しょうねん,3
しょうねん,小林,3
うち,たんてい,3
敏夫,木村,3
うち,小林,3
まえ,中,3
中,木村,3
おばけ,中,3
まえ,小林,3
やしき,木村,3
おばけ,木村,3
こと,一,3
一,小林,3
へや,小林,3
あな,中,3
かいちゅう,中,3
でんとう,中,3
声,木村,3
ほらあな,木村,3
おく,ほらあな,3
かお,中,3
二,目,3
だんいん,木村,3
ちか,木村,3
あと,カブト,3
あと,中,3
あと,まえ,3
あと,ムシ,3
まえ,カブト,3
まえ,足,3
まえ,ムシ,3
もの,下,3
もの,ゆか,3
もの,中,3
ふた,カブト,3
ふた,ムシ,3
ルビー,中,3
きみ,わし,3
きみ,こんど,3
しょうねん,ちえ,3
の,木村,3
こと,はかせ,3
こと,まほう,3
うち,ルビー,3
ルビー,小林,3
まほう,小林,3
こと,明智,3
たんてい,でんわ,3
でんわ,小林,3
だんいん,ひと,3
しょ,小林,3
こと,ユウ子,3
口,耳,3
上,手,3
ユウ子,上,3
おきもの,せっこう,3
ば,ユウ子,3
せっこう,ば,3
の,もの,3
せっこう,中,3
じゅう,男,3
かお,ひげ,3
かお,じゅう,3
じゅう,ひげ,3
しょうねん,だん,3
たんてい,ユウ子,3
くび,男,3
の,木,3
の,まほう,3
ふうせん,空,3
てっぺん,五,3
てっぺん,一,3
五,午後,3
三,五,3
スギ,午後,3
スギ,三,3
スギ,二十五,3
三,午後,3
二十五,午後,3
一,午後,3
三,二十五,3
一,二十五,3
はかせ,木村,3
まほう,木村,3
の,スギ,3
スギ,原っぱ,3
だんいん,五,3
中,井上,3
一郎,井上,3
もの,ノロ,3
てっぺん,ノロ,3
なに,ノロ,3
たんてい,少年,3
井上,原っぱ,3
世田谷,原っぱ,3
世田谷,五,3
ノロ,世田谷,3
ユウ子,世田谷,3
